Dunya genelinde depremden etkilenen insan sayisi;Entity;Year
200;Afghanistan;1950
0;Afghanistan;1960
90015;Afghanistan;1970
72538;Afghanistan;1980
352293;Afghanistan;1990
107947;Afghanistan;2000
9797;Afghanistan;2010
0;Africa;1900
0;Africa;1910
0;Africa;1920
763;Africa;1930
0;Africa;1940
134278;Africa;1950
92936;Africa;1960
0;Africa;1970
1019446;Africa;1980
18131;Africa;1990
38675;Africa;2000
153003;Africa;2010
0;Albania;1900
0;Albania;1910
0;Albania;1920
3048;Albania;1930
11;Albania;1940
0;Albania;1950
45166;Albania;1960
35;Albania;1970
5695;Albania;1980
210;Albania;1990
15;Albania;2000
207825;Albania;2010
0;Algeria;1910
0;Algeria;1920
0;Algeria;1930
0;Algeria;1940
13425;Algeria;1950
50815;Algeria;1960
0;Algeria;1970
94591;Algeria;1980
30214;Algeria;1990
211095;Algeria;2000
42;Algeria;2010
0;American Samoa;1960
0;American Samoa;1970
0;American Samoa;1980
0;American Samoa;1990
250;American Samoa;2000
0;Angola;1980
0;Angola;1990
0;Angola;2000
0;Angola;2010
0;Anguilla;1910
0;Anguilla;1920
0;Anguilla;1930
0;Anguilla;1940
0;Anguilla;1950
0;Anguilla;1960
0;Anguilla;1970
0;Anguilla;1980
0;Anguilla;1990
0;Anguilla;2000
0;Anguilla;2010
0;Antigua and Barbuda;1950
0;Antigua and Barbuda;1960
0;Antigua and Barbuda;1970
0;Antigua and Barbuda;1980
0;Antigua and Barbuda;1990
0;Antigua and Barbuda;2000
0;Antigua and Barbuda;2010
0;Argentina;1920
0;Argentina;1930
15500;Argentina;1940
0;Argentina;1950
0;Argentina;1960
4010;Argentina;1970
45238;Argentina;1980
0;Argentina;1990
727;Argentina;2000
0;Argentina;2010
0;Armenia;1930
0;Armenia;1940
0;Armenia;1950
0;Armenia;1960
0;Armenia;1970
0;Armenia;1980
1500;Armenia;1990
0;Armenia;2000
0;Armenia;2010
119353;Asia;1900
75841;Asia;1910
448982;Asia;1920
393261;Asia;1930
597658;Asia;1940
241532;Asia;1950
973924;Asia;1960
2677467;Asia;1970
24260413;Asia;1980
21938478;Asia;1990
7892138;Asia;2000
24387998;Asia;2010
0;Australia;1930
0;Australia;1940
0;Australia;1950
429;Australia;1960
0;Australia;1970
2115;Australia;1980
5025;Australia;1990
0;Australia;2000
0;Australia;2010
0;Austria;1950
0;Austria;1960
0;Austria;1970
0;Austria;1980
0;Austria;1990
0;Austria;2000
0;Austria;2010
1754;Azerbaijan;1900
0;Azerbaijan;1910
0;Azerbaijan;1920
0;Azerbaijan;1930
0;Azerbaijan;1940
0;Azerbaijan;1950
0;Azerbaijan;1960
0;Azerbaijan;1970
0;Azerbaijan;1980
709178;Azerbaijan;1990
3294;Azerbaijan;2000
22499;Azerbaijan;2010
0;Bahamas;1920
0;Bahamas;1930
0;Bahamas;1940
0;Bahamas;1950
0;Bahamas;1960
0;Bahamas;1970
0;Bahamas;1980
0;Bahamas;1990
0;Bahamas;2000
0;Bahamas;2010
0;Bangladesh;1900
0;Bangladesh;1910
0;Bangladesh;1920
0;Bangladesh;1930
0;Bangladesh;1940
0;Bangladesh;1950
0;Bangladesh;1960
0;Bangladesh;1970
20;Bangladesh;1980
1540;Bangladesh;1990
3525;Bangladesh;2000
27;Bangladesh;2010
0;Barbados;1950
0;Barbados;1960
0;Barbados;1970
0;Barbados;1980
0;Barbados;1990
1;Barbados;2000
0;Barbados;2010
0;Belarus;1990
0;Belarus;2000
0;Belarus;2010
0;Belgium;1900
0;Belgium;1910
0;Belgium;1920
0;Belgium;1930
0;Belgium;1940
0;Belgium;1950
0;Belgium;1960
0;Belgium;1970
103;Belgium;1980
0;Belgium;1990
0;Belgium;2000
0;Belgium;2010
0;Belize;1930
0;Belize;1940
0;Belize;1950
0;Belize;1960
0;Belize;1970
0;Belize;1980
0;Belize;1990
0;Belize;2000
0;Belize;2010
0;Benin;1960
0;Benin;1970
0;Benin;1980
0;Benin;1990
0;Benin;2000
0;Benin;2010
0;Bermuda;1940
0;Bermuda;1950
0;Bermuda;1960
0;Bermuda;1970
0;Bermuda;1980
0;Bermuda;1990
0;Bermuda;2000
0;Bhutan;1990
44958;Bhutan;2000
